Регион: все регионы
Показатель: Уровень резервирования по кредитному портфелю

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
357;9;Банк Заречье;817;Татарстан;1,99;1,92;0,07;
358;6;ИНГ Банк;2495;Москва и обл.;1,99;2,11;-0,12;
359;-3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;1,90;2,85;-0,95;
360;0;Геобанк;2027;Москва и обл.;1,85;2,46;-0,61;
361;7;Национальная Факторинговая Компания;3437;Москва и обл.;1,55;1,31;0,24;
362;5;АвтоКредитБанк;1973;Татарстан;1,49;1,55;-0,05;
363;6;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;1,36;1,28;0,08;
364;10;Коммерцбанк (Евразия);3333;Москва и обл.;1,29;0,34;0,95;
365;5;АйСиБиСи Банк;3475;Москва и обл.;0,99;0,99;-0,00;
366;-1;Дойче Банк;3328;Москва и обл.;0,91;2,08;-1,16;
367;4;Чайнасельхозбанк;3529;Москва и обл.;0,55;0,52;0,03;
368;4;Вестерн Юнион ДП Восток;2726;Москва и обл.;0,52;0,52;-0,00;
369;4;Чайна Констракшн;3515;Москва и обл.;0,49;0,50;-0,01;
370;6;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;0,39;0,29;0,10;
371;4;СЭБ Банк;3235;Санкт-Петербург и обл.;0,35;0,33;0,02;
372;10;БНП Париба Банк;3407;Москва и обл.;0,33;0,00;0,33;
373;5;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;0,12;0,11;0,01;
374;5;Мидзухо Банк;3337;Москва и обл.;0,09;0,08;0,01;
375;5;Национальный Клиринговый Центр;3466;Москва и обл.;0,05;0,05;-0,00;
376;5;Америкэн Экспресс Банк;3460;Москва и обл.;0,02;0,01;0,01;
377;6;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;0,00;0,00;-0,00;
378;;Банк 131;3538;Татарстан;0,00;0,00;0,00;
379;;Глобал Эксчейндж;3533;Москва и обл.;0,00;0,00;0,00;
380;;Голдман Сакс Банк;3490;Москва и обл.;0,00;0,00;0,00;
381;;Дальний Восток;3318;Приморский край;0,00;0,00;0,00;
382;;Дж. П. Морган Банк;2629;Москва и обл.;0,00;0,00;0,00;
383;;Единая касса;3512;Москва и обл.;0,00;0,00;0,00;
384;;Инэко;3520;Ивановская обл.;0,00;0,00;0,00;
385;;Красноярский Краевой Расчетный Центр;3483;Красноярский край;0,00;0,00;0,00;
386;;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;0,00;0,00;0,00;
387;;Межбанковский Кредитный Союз;3242;Москва и обл.;0,00;0,00;0,00;
388;;Моби.Деньги;3523;Москва и обл.;0,00;0,00;0,00;
389;;Монета.ру;3508;Марий Эл;0,00;0,00;0,00;
390;;Нарат;1902;Татарстан;0,00;0,00;0,00;
391;;Петербургский Расчетный Центр;3306;Санкт-Петербург и обл.;0,00;0,00;0,00;
392;;Платежи и Расчеты;3324;Самарская обл.;0,00;0,00;0,00;
393;;Платежный Стандарт;3530;Новосибирская обл.;0,00;0,00;0,00;
394;;ПэйПал Ру;3517;Москва и обл.;0,00;0,00;0,00;
395;;ПэйЮ;3518;Москва и обл.;0,00;0,00;0,00;
396;;Р-Инкас;3536;Москва и обл.;0,00;0,00;0,00;
397;;Расчетные Решения;3524;Москва и обл.;0,00;0,00;0,00;
398;;РИБ;2749;Москва и обл.;0,00;0,00;0,00;
399;;Русское Финансовое Общество;3427;Москва и обл.;0,00;0,00;0,00;
400;;Сетевая Расчетная Палата;3332;Татарстан;0,00;0,00;0,00;
401;;Синергия;2884;Саратовская обл.;0,00;0,00;0,00;
402;;Электронный платежный сервис;3509;Москва и обл.;0,00;0,00;0,00;
403;;Элплат;3535;Удмуртия;0,00;0,00;0,00;
404;;Ю Би Эс Банк;3463;Москва и обл.;0,00;0,00;0,00;
405;;ЮMoney;3510;Россия;0,00;0,00;0,00;
