Регион: все регионы
Показатель: Рентабельность капитала

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
347;2;Русфинанс Банк;1792;Самарская обл.;-6,14;-6,21;0,07;
348;0;Дом-Банк;3209;Москва и обл.;-6,31;-5,76;-0,55;
349;-3;Альба Альянс;2593;Москва и обл.;-6,39;-5,65;-0,74;
350;-7;Банк Зенит;3255;Москва и обл.;-6,62;-5,43;-1,19;
351;7;Банк Стандарт-Кредит;841;Москва и обл.;-6,74;-7,67;0,93;
352;15;Америкэн Экспресс Банк;3460;Москва и обл.;-6,93;-8,93;2,00;
353;-13;БСТ-Банк;2883;Кемеровская обл.;-7,39;-4,69;-2,70;
354;1;Акрополь;3027;Москва и обл.;-7,81;-7,48;-0,33;
355;6;Национальный Резервный Банк;2170;Москва и обл.;-7,91;-8,05;0,14;
356;9;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;-8,36;-8,63;0,27;
357;-4;Уралфинанс;1370;Свердловская обл.;-8,54;-6,60;-1,94;
358;6;Евроальянс;1781;Ивановская обл.;-8,83;-8,32;-0,51;
359;19;Торжок (бывш. Торжокуниверсалбанк);933;Тверская обл.;-8,93;-14,15;5,22;
360;6;Евразийский Банк;969;Москва и обл.;-9,42;-8,89;-0,53;
361;10;Национальный Банк Сбережений;1949;Ивановская обл.;-9,56;-10,83;1,27;
362;8;Максима;3379;Москва и обл.;-9,59;-10,19;0,60;
363;9;Руна-Банк;3207;Москва и обл.;-10,04;-11,24;1,20;
364;-5;Банк Раунд;2506;Москва и обл.;-10,05;-7,72;-2,33;
365;-99;Возрождение;1439;Москва и обл.;-10,06;0,93;-10,99;
366;-6;Веста;2368;Москва и обл.;-10,18;-8,00;-2,18;
367;1;ИТ Банк;2609;Омская обл.;-10,26;-9,10;-1,16;
368;-5;Лэнд Кредит;1478;Москва и обл.;-10,42;-8,18;-2,24;
369;0;ЦентроКредит;121;Москва и обл.;-11,76;-9,65;-2,11;
370;7;ИРС;272;Москва и обл.;-13,09;-13,77;0,68;
371;4;СИАБ;3245;Санкт-Петербург и обл.;-13,76;-13,22;-0,54;
372;4;ИК Банк;1732;Татарстан;-13,92;-13,55;-0,37;
373;7;Сетелем Банк;2168;Москва и обл.;-13,93;-15,10;1,17;
374;-1;Солид Банк;1329;Приморский край;-14,70;-12,40;-2,30;
375;4;Классик Эконом Банк;3298;Северная Осетия — Алания;-15,41;-14,94;-0,47;
376;6;Альтернатива;3452;Москва и обл.;-15,76;-16,14;0,38;
377;7;Камский Коммерческий Банк;438;Татарстан;-16,46;-18,96;2,50;
378;3;Ростфинанс;481;Ростовская обл.;-16,52;-15,34;-1,18;
379;7;Деньги.Мэйл.Ру;3511;Москва и обл.;-16,77;-22,17;5,40;
380;3;Оней Банк;3516;Москва и обл.;-17,04;-17,13;0,09;
381;-48;Спецстройбанк;236;Москва и обл.;-18,76;-3,18;-15,58;
382;3;Электронный платежный сервис;3509;Москва и обл.;-19,84;-21,82;1,98;
383;4;Р-Инкас;3536;Москва и обл.;-21,74;-22,66;0,92;
384;7;Финчер;3486;Москва и обл.;-26,05;-26,54;0,49;
385;3;Эс-Би-Ай Банк;3185;Москва и обл.;-26,97;-23,36;-3,61;
386;4;Кросна-Банк;2607;Москва и обл.;-28,07;-25,33;-2,74;
387;7;Плюс Банк;1189;Москва и обл.;-29,23;-34,68;5,45;
388;7;Икано Банк;3519;Москва и обл.;-30,69;-35,80;5,11;
389;-376;Энергомашбанк;52;Санкт-Петербург и обл.;-32,08;34,64;-66,72;
390;3;Глобал Эксчейндж;3533;Москва и обл.;-33,46;-29,65;-3,81;
391;5;Международный Коммерческий Банк;2524;Москва и обл.;-33,90;-37,89;3,99;
392;5;РГС Банк;3073;Москва и обл.;-37,06;-39,14;2,08;
393;6;Спутник;1071;Самарская обл.;-41,03;-45,99;4,96;
394;6;Интерпромбанк;3266;Москва и обл.;-41,76;-51,35;9,59;
395;6;Инкахран;3454;Москва и обл.;-48,22;-51,76;3,54;
