Регион: все регионы
Показатель: Рентабельность капитала

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
81;9;Зираат Банк;2559;Москва и обл.;13,16;11,39;1,77;
82;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;13,14;12,65;0,49;
83;17;Ситибанк;2557;Москва и обл.;13,04;10,56;2,48;
84;5;Кубань Кредит;2518;Краснодарский край;13,00;11,49;1,51;
85;12;Первоуральскбанк;965;Свердловская обл.;12,84;10,92;1,92;
86;-43;Алеф-Банк;2119;Москва и обл.;12,82;17,69;-4,87;
87;0;Центр-инвест;2225;Ростовская обл.;12,81;11,62;1,19;
88;-34;Транскапиталбанк;2210;Москва и обл.;12,72;16,48;-3,76;
89;6;Севергазбанк;2816;Вологодская обл.;12,67;11,11;1,56;
90;18;Ермак;1809;Ханты-Мансийский АО — Югра;12,46;10,15;2,31;
91;-22;РБА;3413;Москва и обл.;12,17;14,41;-2,24;
92;-15;Челябинвестбанк;493;Челябинская обл.;11,83;13,41;-1,58;
93;16;Тендер-Банк;2252;Москва и обл.;11,81;10,13;1,68;
94;22;Банк Финсервис;3388;Москва и обл.;11,76;9,49;2,27;
95;128;Алтынбанк;2070;Татарстан;11,68;3,20;8,48;
96;-34;Платежный Стандарт;3530;Новосибирская обл.;11,38;15,22;-3,84;
97;75;Нальчик;695;Кабардино-Балкария;11,17;5,55;5,62;
98;5;Челиндбанк;485;Челябинская обл.;11,01;10,38;0,63;
99;-7;Курган;2568;Курганская обл.;10,93;11,26;-0,33;
100;7;Дальневосточный Банк;843;Приморский край;10,91;10,22;0,69;
101;4;Санкт-Петербург;436;Санкт-Петербург и обл.;10,89;10,34;0,55;
102;-11;НБД-Банк;1966;Нижегородская обл.;10,83;11,38;-0,55;
103;9;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;10,83;9,94;0,89;
104;-5;Арзамас;1281;Нижегородская обл.;10,75;10,68;0,07;
105;5;Кузнецкий;609;Пензенская обл.;10,46;10,12;0,34;
106;-22;Прио-Внешторгбанк;212;Рязанская обл.;10,40;12,46;-2,06;
107;81;Система;2846;Москва и обл.;10,24;4,49;5,75;
108;-2;Россита-Банк;3257;Москва и обл.;10,00;10,26;-0,26;
109;-31;Мерседес-Бенц Банк Рус;3473;Москва и обл.;9,99;13,40;-3,41;
110;-17;Единая касса;3512;Москва и обл.;9,98;11,20;-1,22;
111;10;СМП Банк;3368;Москва и обл.;9,90;9,22;0,68;
112;1;НИКО-Банк;702;Оренбургская обл.;9,73;9,81;-0,08;
113;-2;Банк РМП;2574;Москва и обл.;9,72;9,96;-0,24;
114;5;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;9,68;9,30;0,38;
115;0;Кузбассхимбанк;2868;Кемеровская обл.;9,60;9,74;-0,14;
116;-20;Саровбизнесбанк;2048;Нижегородская обл.;9,60;11,06;-1,46;
117;1;Томскпромстройбанк;1720;Томская обл.;9,57;9,39;0,18;
118;92;Москва-Сити;3247;Москва и обл.;9,50;3,76;5,74;
119;9;Тексбанк;2756;Карачаево-Черкесия;9,34;8,54;0,80;
120;93;Сити Инвест Банк;3194;Санкт-Петербург и обл.;9,32;3,69;5,63;
121;-19;Роял Кредит Банк;783;Приморский край;9,15;10,43;-1,28;
122;10;Росбанк;2272;Москва и обл.;9,13;7,79;1,34;
123;16;Фора-Банк;1885;Москва и обл.;9,11;7,08;2,03;
124;-1;Аверс;415;Татарстан;8,97;8,87;0,10;
125;-27;БНП Париба Банк;3407;Москва и обл.;8,94;10,74;-1,80;
126;-4;Банк ДОМ.РФ;2312;Москва и обл.;8,67;9,12;-0,45;
127;-10;РФИ Банк;3351;Москва и обл.;8,47;9,45;-0,98;
128;54;Ренессанс Кредит;3354;Москва и обл.;8,36;5,18;3,18;
129;-28;Владбизнесбанк;903;Владимирская обл.;8,12;10,49;-2,37;
130;-36;Коммерцбанк (Евразия);3333;Москва и обл.;8,12;11,17;-3,05;
131;5;Денизбанк Москва;3330;Москва и обл.;8,08;7,40;0,68;
132;2;Тойота Банк;3470;Москва и обл.;7,90;7,52;0,38;
133;-3;Объединенный Капитал;2611;Санкт-Петербург и обл.;7,88;8,07;-0,19;
134;-9;СДМ-Банк;1637;Москва и обл.;7,87;8,60;-0,73;
135;-2;Дальний Восток;3318;Приморский край;7,81;7,64;0,17;
136;-50;Почта Банк;650;Москва и обл.;7,80;11,66;-3,86;
137;-6;Хакасский Муниципальный Банк;1049;Хакасия;7,61;8,00;-0,39;
138;5;Яринтербанк;2564;Ярославская обл.;7,55;6,56;0,99;
139;-13;БКС Банк;101;Москва и обл.;7,54;8,58;-1,04;
140;14;Современные Стандарты Бизнеса;3397;Москва и обл.;7,49;6,27;1,22;
141;-12;Перспектива;3532;Омская обл.;7,30;8,14;-0,84;
142;45;Калуга;1151;Калужская обл.;7,29;4,51;2,78;
143;15;Датабанк;646;Удмуртия;7,11;6,21;0,90;
144;-6;Росдорбанк;1573;Москва и обл.;7,02;7,09;-0,07;
145;12;Санкт-Петербургский Банк Инвестиций;3468;Санкт-Петербург и обл.;6,92;6,24;0,68;
146;2;Ю Би Эс Банк;3463;Москва и обл.;6,84;6,40;0,44;
147;18;Банк Акцепт;567;Новосибирская обл.;6,82;5,78;1,04;
148;-28;Саратов;330;Саратовская обл.;6,76;9,22;-2,46;
149;14;ФорБанк;2063;Москва и обл.;6,66;5,86;0,80;
150;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;6,60;6,38;0,22;
