Регион: все регионы
Показатель: Рентабельность активов-нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
347;5;ИТ Банк;2609;Омская обл.;-1,44;-1,26;-0,18;
348;17;Солидарность;554;Самарская обл.;-1,45;-2,00;0,55;
349;1;Уралфинанс;1370;Свердловская обл.;-1,47;-1,13;-0,34;
350;5;Евроальянс;1781;Ивановская обл.;-1,50;-1,41;-0,09;
351;17;Газэнергобанк;3252;Калужская обл.;-1,60;-2,10;0,50;
352;11;Мурманский Социальный Коммерческий Банк;2722;Мурманская обл.;-1,64;-1,82;0,18;
353;4;Дружба;990;Тюменская обл.;-1,73;-1,47;-0,26;
354;-5;БСТ-Банк;2883;Кемеровская обл.;-1,74;-1,11;-0,63;
355;5;Дон-Тексбанк;1818;Ростовская обл.;-1,78;-1,76;-0,02;
356;3;Дом-Банк;3209;Москва и обл.;-1,84;-1,61;-0,23;
357;10;Р-Инкас;3536;Москва и обл.;-1,92;-2,03;0,11;
358;-18;Балаково-Банк;444;Саратовская обл.;-1,96;-0,85;-1,11;
359;-3;Холмск;503;Сахалинская обл.;-2,07;-1,41;-0,66;
360;13;Сетелем Банк;2168;Москва и обл.;-2,21;-2,42;0,21;
361;1;Веста;2368;Москва и обл.;-2,27;-1,82;-0,45;
362;8;СИАБ;3245;Санкт-Петербург и обл.;-2,29;-2,22;-0,07;
363;9;Тайдон;2085;Кемеровская обл.;-2,30;-2,41;0,11;
364;22;Торжок (бывш. Торжокуниверсалбанк);933;Тверская обл.;-2,32;-3,73;1,41;
365;4;Ростфинанс;481;Ростовская обл.;-2,36;-2,17;-0,19;
366;-2;Солид Банк;1329;Приморский край;-2,39;-2,00;-0,39;
367;-16;Банк ПСА Финанс Рус;3481;Москва и обл.;-2,43;-1,14;-1,29;
368;10;Гута-Банк;256;Москва и обл.;-2,54;-2,81;0,27;
369;6;РусьРегионБанк;685;Москва и обл.;-2,59;-2,58;-0,01;
370;-16;Нарат;1902;Татарстан;-2,62;-1,37;-1,25;
371;0;Альба Альянс;2593;Москва и обл.;-2,71;-2,33;-0,38;
372;9;Камский Коммерческий Банк;438;Татарстан;-2,78;-3,27;0,49;
373;9;Банк Стандарт-Кредит;841;Москва и обл.;-2,87;-3,29;0,42;
374;5;Оней Банк;3516;Москва и обл.;-2,93;-2,92;-0,01;
375;2;Кросна-Банк;2607;Москва и обл.;-2,97;-2,71;-0,26;
376;7;Руна-Банк;3207;Москва и обл.;-2,98;-3,39;0,41;
377;8;Плюс Банк;1189;Москва и обл.;-3,10;-3,70;0,60;
378;2;Национальный Резервный Банк;2170;Москва и обл.;-3,11;-3,18;0,07;
379;-3;ЦентроКредит;121;Москва и обл.;-3,17;-2,61;-0,56;
380;4;Национальный Банк Сбережений;1949;Ивановская обл.;-3,23;-3,67;0,44;
381;6;Электронный платежный сервис;3509;Москва и обл.;-3,59;-3,87;0,28;
382;-349;Энергомашбанк;52;Санкт-Петербург и обл.;-3,61;4,07;-7,68;
383;5;Максима;3379;Москва и обл.;-3,73;-4,02;0,29;
384;6;Америкэн Экспресс Банк;3460;Москва и обл.;-3,79;-4,78;0,99;
385;9;Деньги.Мэйл.Ру;3511;Москва и обл.;-3,89;-5,44;1,55;
386;3;Евразийский Банк;969;Москва и обл.;-4,36;-4,12;-0,24;
387;4;ИРС;272;Москва и обл.;-4,60;-4,84;0,24;
388;5;Инкахран;3454;Москва и обл.;-4,94;-5,41;0,47;
389;8;Икано Банк;3519;Москва и обл.;-5,14;-5,72;0,58;
390;5;Акрополь;3027;Москва и обл.;-5,79;-5,55;-0,24;
391;15;Балтинвестбанк;3176;Санкт-Петербург и обл.;-5,86;-10,86;5,00;
392;-46;Спецстройбанк;236;Москва и обл.;-6,25;-1,06;-5,19;
393;-1;Эс-Би-Ай Банк;3185;Москва и обл.;-6,48;-5,24;-1,24;
394;8;Международный Коммерческий Банк;2524;Москва и обл.;-6,86;-7,79;0,93;
395;6;Спутник;1071;Самарская обл.;-6,91;-7,68;0,77;
396;3;Классик Эконом Банк;3298;Северная Осетия — Алания;-6,95;-6,75;-0,20;
397;1;Лэнд Кредит;1478;Москва и обл.;-7,38;-5,79;-1,59;
398;2;ИК Банк;1732;Татарстан;-7,42;-7,20;-0,22;
399;4;Финчер;3486;Москва и обл.;-7,87;-7,87;0,00;
400;5;РГС Банк;3073;Москва и обл.;-8,65;-9,14;0,49;
401;7;Интерпромбанк;3266;Москва и обл.;-13,14;-16,27;3,13;
402;5;Альтернатива;3452;Москва и обл.;-14,27;-14,41;0,14;
403;6;Севастопольский Морской Банк;3528;Севастополь;-15,68;-17,61;1,93;
404;6;Глобал Эксчейндж;3533;Москва и обл.;-24,36;-21,35;-3,01;
