Регион: все регионы
Показатель: Рентабельность активов-нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
82;46;Коммерческий Индо Банк;3446;Москва и обл.;2,20;1,57;0,63;
83;21;Петербургский Расчетный Центр;3306;Санкт-Петербург и обл.;2,19;1,93;0,26;
84;3;Екатеринбург;3161;Свердловская обл.;2,18;2,18;0,00;
85;0;Кузбассхимбанк;2868;Кемеровская обл.;2,16;2,20;-0,04;
86;15;Санкт-Петербургский Банк Инвестиций;3468;Санкт-Петербург и обл.;2,16;1,95;0,21;
87;2;Международный Финансовый Клуб;2618;Москва и обл.;2,14;2,15;-0,01;
88;6;Хлынов;254;Кировская обл.;2,13;2,09;0,04;
89;-9;Славянбанк;804;Новгородская обл.;2,12;2,30;-0,18;
90;118;Сити Инвест Банк;3194;Санкт-Петербург и обл.;2,11;0,85;1,26;
91;-7;Татсоцбанк;480;Татарстан;2,11;2,22;-0,11;
92;1;Примсоцбанк;2733;Приморский край;2,10;2,10;0,00;
93;-7;Белгородсоцбанк;760;Белгородская обл.;2,09;2,19;-0,10;
94;5;Банк Фридом Финанс;1143;Москва и обл.;2,06;1,99;0,07;
95;-12;Крона-Банк;2499;Иркутская обл.;2,01;2,22;-0,21;
96;37;Аресбанк;2914;Москва и обл.;1,98;1,52;0,46;
97;14;Металлинвестбанк;2440;Москва и обл.;1,96;1,82;0,14;
98;-1;Россита-Банк;3257;Москва и обл.;1,95;2,00;-0,05;
99;1;Банк Открытие;2209;Москва и обл.;1,90;1,95;-0,05;
100;8;Аверс;415;Татарстан;1,89;1,85;0,04;
101;-10;РФИ Банк;3351;Москва и обл.;1,89;2,12;-0,23;
102;79;Фольксваген Банк Рус;3500;Москва и обл.;1,85;0,98;0,87;
103;0;Запсибкомбанк;918;Тюменская обл.;1,84;1,94;-0,10;
104;2;Объединенный Банк Республики;1016;Чувашия;1,84;1,86;-0,02;
105;-10;Интерпрогрессбанк;600;Москва и обл.;1,82;2,06;-0,24;
106;1;Русьуниверсалбанк;3293;Москва и обл.;1,82;1,86;-0,04;
107;14;Челиндбанк;485;Челябинская обл.;1,80;1,69;0,11;
108;24;Первоуральскбанк;965;Свердловская обл.;1,79;1,53;0,26;
109;-33;Мерседес-Бенц Банк Рус;3473;Москва и обл.;1,78;2,40;-0,62;
110;-14;Приморье;3001;Приморский край;1,78;2,05;-0,27;
111;3;МС Банк Рус;2789;Москва и обл.;1,77;1,81;-0,04;
112;-14;Челябинвестбанк;493;Челябинская обл.;1,77;2,00;-0,23;
113;7;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;1,75;1,70;0,05;
114;55;Синергия;2884;Саратовская обл.;1,72;1,09;0,63;
115;-57;Горбанк;2982;Санкт-Петербург и обл.;1,70;2,91;-1,21;
116;37;ЕАТП Банк;1765;Астраханская обл.;1,70;1,23;0,47;
117;-7;Братский АНКБ;1144;Иркутская обл.;1,69;1,82;-0,13;
118;-13;Единая касса;3512;Москва и обл.;1,69;1,92;-0,23;
119;29;Траст;3279;Москва и обл.;1,69;1,30;0,39;
120;-2;Банк ДОМ.РФ;2312;Москва и обл.;1,66;1,77;-0,11;
121;-19;БНП Париба Банк;3407;Москва и обл.;1,61;1,94;-0,33;
122;-55;Капитал;575;Москва и обл.;1,61;2,65;-1,04;
123;-8;Саровбизнесбанк;2048;Нижегородская обл.;1,60;1,81;-0,21;
124;3;БыстроБанк;1745;Удмуртия;1,59;1,59;0,00;
125;5;Норвик Банк;902;Кировская обл.;1,59;1,56;0,03;
126;54;Ренессанс Кредит;3354;Москва и обл.;1,59;0,98;0,61;
127;16;Уралпромбанк;2964;Челябинская обл.;1,59;1,36;0,23;
128;3;Россия;328;Санкт-Петербург и обл.;1,58;1,55;0,03;
129;-65;Генбанк;2490;Симферополь;1,55;2,70;-1,15;
130;8;Юг-Инвестбанк;2772;Краснодарский край;1,55;1,46;0,09;
131;-109;Дж. П. Морган Банк;2629;Москва и обл.;1,54;5,65;-4,11;
132;-16;Национальный Расчетный Депозитарий;3294;Москва и обл.;1,53;1,79;-0,26;
133;4;Банк Уралсиб;30;Москва и обл.;1,52;1,47;0,05;
134;58;Калуга;1151;Калужская обл.;1,52;0,93;0,59;
135;10;Кубань Кредит;2518;Краснодарский край;1,51;1,34;0,17;
136;-46;Московский Областной Банк;1751;Москва и обл.;1,49;2,15;-0,66;
137;-2;НИКО-Банк;702;Оренбургская обл.;1,48;1,50;-0,02;
138;2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;1,48;1,43;0,05;
139;-30;Бест Эффортс Банк;435;Москва и обл.;1,47;1,82;-0,35;
140;-23;Транскапиталбанк;2210;Москва и обл.;1,41;1,79;-0,38;
141;9;Центр-инвест;2225;Ростовская обл.;1,41;1,27;0,14;
142;-18;Синко-Банк;2838;Москва и обл.;1,40;1,63;-0,23;
143;-17;Роял Кредит Банк;783;Приморский край;1,38;1,60;-0,22;
144;-2;Черноморский банк развития и реконструкции;3527;Симферополь;1,38;1,40;-0,02;
145;4;Кошелев-Банк;3300;Самарская обл.;1,36;1,29;0,07;
146;-10;АвтоКредитБанк;1973;Татарстан;1,35;1,47;-0,12;
147;23;Ситибанк;2557;Москва и обл.;1,32;1,09;0,23;
148;-85;Автоторгбанк;2776;Москва и обл.;1,28;2,72;-1,44;
149;5;Санкт-Петербург;436;Санкт-Петербург и обл.;1,28;1,23;0,05;
150;-16;Таганрогбанк;3136;Ростовская обл.;1,27;1,51;-0,24;
151;40;БМВ Банк;3482;Москва и обл.;1,26;0,94;0,32;
152;6;Акибанк;2587;Татарстан;1,25;1,17;0,08;
153;-28;Профессионал Банк;3296;Москва и обл.;1,25;1,61;-0,36;
154;48;Банк Кредит Свисс;2494;Москва и обл.;1,24;0,88;0,36;
155;-8;Газтрансбанк;665;Краснодарский край;1,24;1,30;-0,06;
156;-12;Кузнецкбизнесбанк;1158;Кемеровская обл.;1,24;1,35;-0,11;
157;-45;Почта Банк;650;Москва и обл.;1,24;1,82;-0,58;
158;35;Московский Коммерческий Банк;3172;Москва и обл.;1,22;0,93;0,29;
159;-20;Банк Заречье;817;Татарстан;1,21;1,44;-0,23;
160;3;Тойота Банк;3470;Москва и обл.;1,21;1,15;0,06;
161;28;Фора-Банк;1885;Москва и обл.;1,21;0,95;0,26;
162;-16;Ланта-Банк;1920;Москва и обл.;1,20;1,31;-0,11;
163;1;Инвестторгбанк;2763;Москва и обл.;1,19;1,14;0,05;
164;-42;Коммерцбанк (Евразия);3333;Москва и обл.;1,19;1,68;-0,49;
165;-4;Томскпромстройбанк;1720;Томская обл.;1,19;1,16;0,03;
166;11;Новый Век;3417;Москва и обл.;1,16;1,02;0,14;
167;-10;Объединенный Капитал;2611;Санкт-Петербург и обл.;1,16;1,18;-0,02;
168;3;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;1,15;1,07;0,08;
169;-7;СЭБ Банк;3235;Санкт-Петербург и обл.;1,15;1,15;0,00;
170;-19;Бэнк оф Чайна;2309;Москва и обл.;1,12;1,25;-0,13;
171;-11;Хакасский Муниципальный Банк;1049;Хакасия;1,12;1,17;-0,05;
172;10;Заубер Банк;1614;Санкт-Петербург и обл.;1,10;0,97;0,13;
173;-5;Реалист Банк;1067;Москва и обл.;1,10;1,11;-0,01;
174;21;Росбанк;2272;Москва и обл.;1,10;0,93;0,17;
175;11;Севергазбанк;2816;Вологодская обл.;1,10;0,96;0,14;
176;23;Всероссийский Банк Развития Регионов;3287;Москва и обл.;1,09;0,90;0,19;
177;-12;Промтрансбанк;2638;Башкортостан;1,09;1,13;-0,04;
178;26;Банк Финсервис;3388;Москва и обл.;1,08;0,87;0,21;
179;-6;Космос;2245;Москва и обл.;1,08;1,06;0,02;
180;-24;Проинвестбанк;784;Пермская обл.;1,07;1,20;-0,13;
181;-7;Кузнецкий;609;Пензенская обл.;1,06;1,03;0,03;
182;-6;Джей энд Ти Банк;3061;Москва и обл.;1,04;1,02;0,02;
183;41;Прокоммерцбанк;2996;Москва и обл.;1,04;0,69;0,35;
184;-12;Финам Банк;2799;Москва и обл.;1,04;1,07;-0,03;
185;-30;АйСиБиСи Банк;3475;Москва и обл.;1,03;1,22;-0,19;
186;-19;СДМ-Банк;1637;Москва и обл.;1,03;1,12;-0,09;
187;0;СМП Банк;3368;Москва и обл.;1,02;0,96;0,06;
188;60;ББР Банк;2929;Москва и обл.;1,01;0,47;0,54;
189;-23;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;1,01;1,13;-0,12;
190;-11;Саммит Банк;85;Приморский край;0,99;0,99;0,00;
